group,total_respondents,language,count,percent
"Professional Developers",24759,"Lisp",486,2.0
"Professional Developers",24759,"Zig",464,1.9
"Professional Developers",24759,"MicroPython",418,1.7
"Professional Developers",24759,"Erlang",361,1.5
"Professional Developers",24759,"F#",298,1.2
"Professional Developers",24759,"Ada",248,1.0
"Professional Developers",24759,"Gleam",244,1.0
"Professional Developers",24759,"Fortran",230,0.9
"Professional Developers",24759,"OCaml",221,0.9
"Professional Developers",24759,"Prolog",204,0.8
"Professional Developers",24759,"COBOL",189,0.8
"Professional Developers",24759,"Mojo",78,0.3
"Learning to Code",2564,"Python",1840,71.8
"Learning to Code",2564,"HTML/CSS",1709,66.6
"Learning to Code",2564,"JavaScript",1611,62.8
"Learning to Code",2564,"C",1232,48.0
"Learning to Code",2564,"Bash/Shell",1205,47.0
"Learning to Code",2564,"SQL",1163,45.4
"Learning to Code",2564,"C++",1143,44.6
"Learning to Code",2564,"Java",1047,40.8
"Learning to Code",2564,"TypeScript",819,31.9
"Learning to Code",2564,"C#",591,23.1
"Learning to Code",2564,"Rust",591,23.1
"Learning to Code",2564,"Assembly",497,19.4
"Learning to Code",2564,"PowerShell",491,19.1
"Learning to Code",2564,"Lua",385,15.0
"Learning to Code",2564,"PHP",372,14.5
"Learning to Code",2564,"Go",336,13.1
"Learning to Code",2564,"Kotlin",276,10.8
"Learning to Code",2564,"MATLAB",262,10.2
"Learning to Code",2564,"R",219,8.5
"Learning to Code",2564,"GDScript",210,8.2
"Learning to Code",2564,"Dart",201,7.8
"Learning to Code",2564,"Zig",125,4.9
"Learning to Code",2564,"Visual Basic (.Net)",118,4.6
"Learning to Code",2564,"MicroPython",116,4.5
"Learning to Code",2564,"Lisp",106,4.1
"Learning to Code",2564,"Swift",99,3.9
"Learning to Code",2564,"Ruby",94,3.7
"Learning to Code",2564,"VBA",86,3.4
"Learning to Code",2564,"OCaml",85,3.3
"Learning to Code",2564,"Prolog",77,3.0
"Learning to Code",2564,"Ada",76,3.0
"Learning to Code",2564,"Elixir",64,2.5
"Learning to Code",2564,"Scala",61,2.4
"Learning to Code",2564,"Gleam",53,2.1
"Learning to Code",2564,"Groovy",52,2.0
"Learning to Code",2564,"Fortran",51,2.0
"Learning to Code",2564,"F#",49,1.9
"Learning to Code",2564,"Perl",49,1.9
"Learning to Code",2564,"Delphi",43,1.7
"Learning to Code",2564,"Erlang",40,1.6
"Learning to Code",2564,"COBOL",35,1.4
"Learning to Code",2564,"Mojo",27,1.1
