site,collection date,temperature_c,pH,dissolved_oxygen_mg_L,conductivity_uS_cm,n_replicates
SITE_D,2025-06-20,16.9,7.82,9.89,247.0,3
site-b,2025-06-18,,7.24,7.65,448.9,3
site-a,2025-07-12,17.9,7.37,9.85,302.8,3
 site-c,2025-08-17,23.1,6.69,7.51,784.8,3
Site_D,2025-06-12,13.4,7.8,10.83,294.7,3
SITE_D,2025-06-24,16.8,7.91,9.04,251.5,3
site_b,2025-08-09,16.9,7.15,8.55,494.8,4
site_b ,2025-06-06,16.4,7.11,8.61,,3
site_f,2025-06-22,22.4,6.58,5.44,883.3,2
 site-f,2025-08-15,23.8,6.29,7.52,830.0,3
 SITE_E,2025-08-23,21.2,6.92,7.0,600.3,3
 site_d,2025-08-23,14.5,7.88,9.87,275.6,3
site-b,2025-08-13,16.7,6.92,8.75,476.3,3
SITE_A,2025-07-30,15.0,7.41,9.77,301.7,3
site-e,2025-09-02,18.3,7.01,,660.3,3
SITE_A,2025-06-18,17.7,7.26,10.16,236.8,2
SITE_A,2025-07-18,17.4,7.48,8.78,309.1,3
 site-c,2025-09-08,21.1,6.76,6.54,851.1,3
Site_D,2025-07-10,14.0,7.6,10.6,287.6,3
site_f ,2025-06-08,24.9,6.46,5.76,893.4,3
 SITE_E,2025-06-08,22.0,6.99,7.33,606.4,3
 site_a,2025-09-08,15.4,7.92,8.91,242.5,3
 SITE_E,2025-06-14,19.7,7.12,8.08,,3
site_f ,2025-08-07,22.4,6.36,4.71,874.2,3
site_f,2025-06-12,23.9,6.18,5.88,907.9,4
site-b,2025-08-21,-999.0,7.41,9.86,476.8,3
SITE_F,2025-07-04,23.8,6.69,5.76,924.8,3
Site_F,2025-06-02,25.6,6.31,5.25,844.3,4
site_e ,2025-09-08,19.6,6.91,8.26,560.2,4
 site_a,2025-08-07,17.8,7.28,9.23,309.8,3
SITE_C,2025-06-26,22.9,6.26,7.61,758.0,2
 site-c,2025-08-19,21.9,6.8,5.83,725.3,3
 site_d,2025-06-22,,6.79,11.11,258.3,4
site_b ,2025-08-07,20.1,7.22,8.5,452.3,3
site-d,2025-06-08,14.0,"7,64",11.43,259.3,3
site-d,2025-06-28,17.1,7.44,9.43,276.5,4
site-c,2025-08-21,21.7,6.56,6.15,780.4,3
SITE_C,2025-06-16,20.8,6.8,7.04,851.3,3
Site_F,2025-08-25,20.3,6.48,6.47,826.8,2
 SITE_E,2025-08-05,20.3,7.06,7.09,591.8,4
site_f ,2025-06-06,,6.11,6.1,873.5,4
site_d,2025-07-14,15.6,8.01,10.81,333.1,3
site_f,2025-06-22,22.4,6.58,5.44,883.3,2
Site_B,2025-08-11,17.9,7.1,7.76,469.8,3
Site_C,2025-07-08,22.1,6.73,6.76,,3
 Site_B,2025-08-17,16.7,6.97,,492.5,3
 site_a,2025-07-20,14.8,7.58,8.73,335.1,4
SITE_F,2025-06-04,,6.12,6.32,947.3,3
 site_a,2025-08-15,17.2,7.36,9.29,287.6,2
Site_A,2025-09-02,16.9,7.43,9.1,304.9,2
site-c,2025-07-26,23.2,6.77,7.06,754.6,3
site_a,2025-08-17,16.9,7.08,9.28,352.7,2
 site_d,2025-08-23,14.5,7.88,9.87,275.6,3
site_d,2025-07-18,16.0,7.93,9.61,245.3,3
 site_a,2025-08-27,17.0,7.49,8.31,373.7,3
Site_B,2025-06-08,18.2,7.3,8.22,475.0,3
site_c ,2025-06-22,23.8,7.1,7.36,738.8,4
Site_D,2025-06-14,15.4,"8,09",10.71,235.9,4
SITE_A,2025-08-31,17.0,7.47,10.33,,3
site-e,2025-07-18,17.9,7.03,8.38,655.2,
Site_B,2025-06-14,16.9,6.93,8.68,471.5,3
 SITE_E,2025-06-24,17.2,7.42,7.03,629.3,4
site_e,2025-08-19,21.7,6.94,8.79,546.3,3
 site_d,2025-08-19,15.0,7.89,9.72,,3
site_e ,2025-08-21,20.9,"7,12",7.12,664.7,2
Site_F,2025-07-16,25.8,6.21,6.61,924.8,2
SITE_B,2025-07-02,17.1,6.8,7.91,479.2,3
SITE_C,2025-07-18,23.7,6.65,6.73,689.1,3
site-c,2025-08-11,,6.76,7.79,746.5,3
Site_A,2025-06-04,19.9,7.62,10.41,296.5,3
SITE_A,2025-06-18,17.7,7.26,10.16,236.8,2
Site_E,2025-08-11,18.9,"6,94",8.15,648.4,2
site_d ,2025-07-06,15.7,8.03,9.5,249.4,2
site_b,2025-08-27,17.3,7.06,9.86,425.8,3
SITE_E,2025-06-30,21.2,6.85,7.12,535.2,3
site-b,2025-08-03,17.7,6.81,9.46,446.7,3
 site-f,2025-08-09,23.7,6.54,6.97,890.5,3
site_f ,2025-07-12,21.1,6.23,6.71,893.2,4
 site_d,2025-08-01,14.4,7.7,9.54,266.0,3
site_e,2025-08-13,17.7,7.1,6.05,642.4,3
site_b,2025-07-30,19.9,7.27,8.71,,4
Site_C,2025-07-20,22.1,"6,15",5.65,842.3,4
site-b,2025-07-20,21.2,6.97,8.94,500.6,2
site-b,2025-08-15,16.7,6.98,8.51,557.4,2
site_a ,2025-07-06,14.0,7.12,9.8,334.0,3
SITE_C,2025-06-16,20.8,6.8,7.04,851.3,3
 site_d,2025-09-06,13.3,7.74,10.46,265.6,3
site-b,2025-09-08,18.6,7.07,8.38,368.8,3
site-d,2025-07-26,17.0,7.74,10.19,250.2,3
site-a,2025-06-06,20.4,7.23,9.91,329.9,3
 site-c,2025-06-24,22.6,6.43,7.35,777.7,3
site_e ,2025-06-06,21.1,6.83,6.72,646.6,3
site_c ,2025-08-27,21.6,6.57,7.33,755.6,3
site_f ,2025-07-20,23.1,6.23,5.76,902.3,3
 site-f,2025-07-06,,6.69,6.31,926.8,3
 site-c,2025-06-12,22.6,6.43,7.05,793.9,2
Site_F,2025-08-27,22.9,6.29,6.04,878.5,3
site-c,2025-08-29,25.3,6.43,7.49,728.1,2
Site_E,2025-08-25,18.2,6.98,7.68,605.8,4
SITE_C,2025-06-10,20.6,7.05,6.51,807.8,3
site_a,2025-07-14,17.6,7.51,9.81,276.6,2
site_e ,2025-06-18,17.5,6.91,7.41,540.2,3
Site_B,2025-08-29,19.2,7.26,8.56,456.5,3
 SITE_E,2025-08-27,20.1,6.95,7.65,638.1,3
 site-c,2025-09-06,22.3,7.06,7.99,766.9,3
site_e,2025-06-16,19.7,6.83,8.53,583.0,3
site_e ,2025-07-16,18.8,6.77,,622.0,3
site_f ,2025-07-24,22.7,6.53,6.26,891.2,2
Site_D,2025-09-02,14.6,7.94,9.67,212.6,3
site-b,2025-06-04,18.4,7.14,8.28,498.8,3
site_d ,2025-07-20,12.6,"7,74",8.94,320.4,4
Site_A,2025-07-28,16.4,7.25,8.25,312.9,3
site_a ,2025-08-09,16.3,7.01,9.3,339.0,2
Site_E,2025-09-04,21.2,6.8,6.54,586.7,4
site_b,2025-06-24,17.2,7.17,8.96,456.8,2
site_e,2025-08-15,18.1,6.55,8.35,608.8,3
site-c,2025-06-06,23.8,6.26,7.64,771.0,4
site_c ,2025-06-20,23.3,6.54,6.43,866.6,3
SITE_F,2025-07-28,24.1,5.89,5.51,899.1,4
SITE_B,2025-06-12,17.3,7.15,8.46,452.3,3
 SITE_E,2025-07-24,21.0,6.58,7.08,607.5,4
site_d ,2025-07-24,,7.83,9.85,317.5,2
site_c,2025-08-25,20.8,6.7,7.27,767.7,3
SITE_A,2025-07-10,17.5,7.63,10.22,269.6,4
